1	4.60108585626
2	8.70793583219
10	35.6417999109
20	61.5731951357
30	81.221022708
40	94.8866631523
50	105.418820188
60	117.494622989
70	121.182335655
80	116.099071207


1	700.23
2	727.81
10	832.55
20	849.01
30	890.41
40	941.35
50	987.65
60	1018.36
70	1118.2
80	1300.81


1	82.05
2	93.37
10	112.4
20	122.67
30	132.71
40	146.17
50	161.7
60	174.3
70	173.09
80	282.54


1	0.174159
2	5.75252
10	65.6817
20	197.91
30	307.305
40	430.848
50	559.223
60	645.963
70	788.794
80	900.313


1	4.60108585626
2	8.70793583219
10	35.6417999109
20	61.5731951357
30	81.221022708
40	94.8866631523
50	105.418820188
60	117.494622989
70	121.182335655
80	116.099071207


1	700.23
2	727.81
10	832.55
20	849.01
30	890.41
40	941.35
50	987.65
60	1018.36
70	1118.2
80	1300.81


1	82.05
2	93.37
10	112.4
20	122.67
30	132.71
40	146.17
50	161.7
60	174.3
70	173.09
80	282.54


1	0.174159
2	5.75252
10	65.6817
20	197.91
30	307.305
40	430.848
50	559.223
60	645.963
70	788.794
80	900.313


