1	2690.10635041
2	4751.2505745
12	26532.523007
24	51720.5440382
36	61226.9595234
48	70710.050499
60	80983.1073202
72	91908.5663264
84	102075.73698
96	109515.606674
108	110244.721465
120	113858.563109
132	114978.212782
144	113649.494014
156	117212.438616
168	118570.514998
180	117002.505297
192	118748.69246


1	107.617327627
2	110.470903254
12	104.984239806
24	107.339711957
36	122.05262608
48	130.576272975
60	131.41903095
72	132.832896043
84	134.449963476
96	139.190171805
108	142.162823361
120	137.155217265
132	137.794556944
144	132.099350905
156	130.632310407
168	130.683813264
180	127.261037462
192	126.711892593


1	263.476905569
2	310.383984523
12	347.301930153
24	356.613677535
36	461.773387434
48	544.653523929
60	580.363424514
72	595.007565284
84	594.802042731
96	604.672530401
108	637.046339653
120	640.262512136
132	660.954925146
144	671.863102046
156	672.176568497
168	686.307722991
180	678.72553313
192	682.793294773


1	39.9732812152
2	58.2675134233
12	71.1928771458
24	69.127109494
36	90.4694683408
48	105.682079422
60	133.450673223
72	156.177614155
84	189.308368655
96	223.981477819
108	294.484278265
120	375.964829835
132	442.252786575
144	558.160351671
156	627.694504575
168	690.532572636
180	825.707561004
192	899.074291748


