1	7.5532345678
2	14.4967221301
12	62.7097947474
24	108.72979438
36	148.503211382
48	178.91132459
60	202.263099345
72	228.037170059
84	245.163135637
96	259.308079608
108	273.211602386
120	285.076257899
132	309.400622239
144	307.057197932
156	312.334614484
168	317.69564757
180	324.769053118
192	334.128435258


1	427.95
2	436.79
12	553.89
24	569.03
36	563.8
48	569.33
60	565.54
72	568.99
84	568.78
96	572.28
108	571.54
120	571.73
132	568.68
144	570.47
156	567.1
168	571.15
180	569.91
192	567.54


1	48.61
2	57.07
12	76.77
24	83.33
36	86.06
48	88.85
60	90.82
72	92.69
84	94.26
96	95.39
108	97.47
120	98.14
132	98.72
144	102.81
156	102.24
168	106.35
180	109.66
192	111.15


1	0.0667378
2	2.8031
12	58.4074
24	142.511
36	223.31
48	308.232
60	412.109
72	475.737
84	571.095
96	665.328
108	754.789
120	846.117
132	869.037
144	1015.54
156	1129.58
168	1226.84
180	1316.41
192	1390.69


