1	8577.12774814
2	17377.1037716
10	81291.5279073
20	145457.324383
30	203797.425361
40	246200.638067
50	237490.509996
60	216923.548134
70	197728.683306
80	197166.522405


1	4.36393002182e-05
2	3.90936407678e-05
10	3.9549008571e-05
20	4.46173280058e-05
30	4.47427439275e-05
40	4.47696065528e-05
50	5.20398978158e-05
60	6.10119193784e-05
70	7.5017521714e-05
80	8.29178547935e-05


1	7.29133503646e-05
2	7.70374685718e-05
10	8.15641972911e-05
20	8.94132168933e-05
30	9.86843502678e-05
40	0.000112677435648
50	0.000150371132691
60	0.000204678613875
70	0.000266545600408
80	0.000309086316426


1	0.00922582949613
2	0.00450550377139
10	0.000880647532058
20	0.000436947634503
30	0.000271729820751
40	0.000191581398633
50	0.000163016564268
60	0.00013930128967
70	0.000106068592164
80	6.45323384361e-05


