1	519.707057257
2	513.168938092
10	588.73265692
20	543.330670927
30	529.528450089
40	537.484108442
50	530.909817238
60	544.425956739
70	506.129457333
80	482.394974167


1	181.911350243
2	210.280373832
10	256.700214859
20	270.733798848
30	274.041483344
40	279.876160991
50	275.896664159
60	271.393643032
70	289.283366206
80	346.916299559


1	807.071483474
2	1281.15264798
10	2007.23736289
20	4241.08783535
30	6901.31992458
40	7079.87616099
50	10996.9902182
60	11268.9486553
70	12949.3754109
80	15083.9757709


1	1880.60978734
2	4805.95794393
10	19880.5835124
20	40802.523582
30	59586.8007542
40	77475.9133127
50	94965.2621018
60	111572.249389
70	140542.932281
80	167310.022026


